aa	Afar	Cushitic	Latn	Qafar		
ab	Abkhaz	Abkhaz-Abaza	Cyrl, Geor, Latn	Abkhazian, Abxazo		Yes
ae	Avestan	Eastern Iranian	Avst, Gujr	Zend, Old Bactrian		
af	Afrikaans	West Germanic	Latn, Arab		Yes	
ak	Akan	Kwa	Latn	Twi-Fante, Twi, Fante, Fanti, Asante, Akuapem		
am	Amharic	Ethiopian Semitic	Ethi			
an	Aragonese	Romance	Latn			
ar	Arabic	Arabic	Arab	Modern Standard Arabic, Standard Arabic, Literary Arabic, Classical Arabic		Yes
as	Assamese	Indo-Aryan	Beng			
av	Avar	Northeast Caucasian	Cyrl	Avaric		
ay	Aymara	Aymaran	Latn	Southern Aymara, Central Aymara		
az	Azeri	Oghuz	Latn, Cyrl, fa-Arab	Azerbaijani, Azari, Azeri Turkic, Azerbaijani Turkic, North Azerbaijani, South Azerbaijani		
ba	Bashkir	Kipchak	Cyrl			
be	Belarusian	East Slavic	Cyrl	Belorussian, Belarusan, Bielorussian, Byelorussian, Belarussian, White Russian	Yes	Yes
bg	Bulgarian	South Slavic	Cyrl			Yes
bh	Bihari	Indo-Aryan	Deva			
bi	Bislama	creole or pidgin	Latn			
bm	Bambara	Mande	Latn	Bamanankan		
bn	Bengali	Indo-Aryan	Beng	Bangla		
bo	Tibetan	Tibeto-Burman	Tibt			
br	Breton	Brythonic	Latn			
ca	Catalan	Romance	Latn	Valencian	Yes	
ce	Chechen	Nakh	Cyrl			Yes
ch	Chamorro	Sunda-Sulawesi	Latn	Chamoru		
co	Corsican	Romance	Latn	Corsu		
cr	Cree	Algonquian	Cans, Latn			
cs	Czech	West Slavic	Latn		Yes	
cu	Old Church Slavonic	South Slavic	Cyrs, Glag	Old Church Slavic	Yes	Yes
cv	Chuvash	Oghur	Cyrl			
cy	Welsh	Brythonic	Latn		Yes	
da	Danish	North Germanic	Latn			
de	German	West Germanic	Latn, Latf	High German, New High German, Deutsch	Yes	
dv	Dhivehi	Indo-Aryan	Thaa	Divehi, Mahal, Mahl, Maldivian		
dz	Dzongkha	Tibeto-Burman	Tibt			
ee	Ewe	Atlantic-Congo	Latn			
el	Greek	Hellenic	Grek	Modern Greek, Neo-Hellenic	Yes	
en	English	West Germanic	Latn, Shaw, Dsrt	Modern English, New English, Hawaiian Creole English, Hawai'ian Creole English, Hawaiian Creole, Hawai'ian Creole, Polari, Yinglish	Yes	
eo	Esperanto	constructed	Latn		Yes	
es	Spanish	Romance	Latn	Castilian	Yes	
et	Estonian	Finnic	Latn			
eu	Basque	Vasconic	Latn	Euskara		
fa	Persian	Western Iranian	fa-Arab	Farsi, New Persian, Modern Persian, Western Persian, Iranian Persian, Eastern Persian, Dari, Aimaq, Aimak, Aymaq, Eimak		Yes
ff	Fula	Senegambian	Latn	Adamawa Fulfulde, Bagirmi Fulfulde, Borgu Fulfulde, Central-Eastern Niger Fulfulde, Fulani, Fulfulde, Maasina Fulfulde, Nigerian Fulfulde, Pular, Pulaar, Western Niger Fulfulde		
fi	Finnish	Finnic	Latn	Suomi	Yes	Yes
fj	Fijian	Central-Eastern Oceanic	Latn			
fo	Faroese	North Germanic	Latn			
fr	French	Romance	Latn	Modern French	Yes	
fy	West Frisian	Frisian	Latn	Western Frisian, Frisian		
ga	Irish	Goidelic	Latn	Irish Gaelic	Yes	
gd	Scottish Gaelic	Goidelic	Latn	Gàidhlig, Highland Gaelic, Scots Gaelic, Scottish	Yes	
gl	Galician	Romance	Latn		Yes	
gn	Guaraní	Tupian	Latn			
gu	Gujarati	Indo-Aryan	Gujr			
gv	Manx	Goidelic	Latn	Manx Gaelic	Yes	
ha	Hausa	West Chadic	Latn, Arab			
he	Hebrew	Canaanite	Hebr, Phnx	Ivrit		Yes
hi	Hindi	Indo-Aryan	Deva			
ho	Hiri Motu	creole or pidgin	Latn	Pidgin Motu, Police Motu		
ht	Haitian Creole	creole or pidgin	Latn	Creole, Haitian, Kreyòl		
hu	Hungarian	Ugric	Latn	Magyar	Yes	
hy	Armenian	Armenian	Armn	Modern Armenian, Eastern Armenian, Western Armenian	Yes	Yes
hz	Herero	Bantu	Latn			
ia	Interlingua	constructed	Latn			
id	Indonesian	Malayic	Latn			
ie	Interlingue	constructed	Latn	Occidental		
ig	Igbo	Benue-Congo	Latn			
ii	Sichuan Yi	Loloish	Yiii	Nuosu, Nosu, Northern Yi, Liangshan Yi		
ik	Inupiak	Inuit	Latn	Inupiaq, Iñupiaq, Inupiatun		
io	Ido	constructed	Latn			
is	Icelandic	North Germanic	Latn			
it	Italian	Romance	Latn		Yes	
iu	Inuktitut	Inuit	Cans, Latn	Eastern Canadian Inuktitut, Eastern Canadian Inuit, Western Canadian Inuktitut, Western Canadian Inuit, Western Canadian Inuktun, Inuinnaq, Inuinnaqtun, Inuvialuk, Inuvialuktun, Nunavimmiutit, Nunatsiavummiut, Aivilimmiut, Natsilingmiut, Kivallirmiut, Siglit, Siglitun		
ja	Japanese	Japonic	Jpan, Latn, Hira	Modern Japanese, Nipponese, Nihongo		
jv	Javanese	Sunda-Sulawesi	Latn, Java			
ka	Georgian	Georgian-Zan	Geor, Geok	Kartvelian		Yes
kg	Kongo	Bantu	Latn	Kikongo, Koongo, Laari, San Salvador Kongo, Yombe		
ki	Kikuyu	Bantu	Latn	Gikuyu, Gĩkũyũ		
kj	Kwanyama	Bantu	Latn	Kuanyama, Oshikwanyama		
kk	Kazakh	Kipchak	Cyrl, Latn, Arab, kk-Arab			
kl	Greenlandic	Inuit	Latn	Kalaallisut		
km	Khmer	Mon-Khmer	Khmr	Cambodian		
kn	Kannada	Dravidian	Knda			
ko	Korean	Korean	Kore	Modern Korean		
kr	Kanuri	Nilo-Saharan	Latn	Kanembu, Bilma Kanuri, Central Kanuri, Manga Kanuri, Tumari Kanuri		
ks	Kashmiri	Dardic	ks-Arab, Deva			
ku	Kurdish	Western Iranian	Latn, ku-Arab, Armn, Cyrl			
kw	Cornish	Brythonic	Latn			
ky	Kyrgyz	Kipchak	Cyrl, Latn, Arab	Kirghiz, Kirgiz		
la	Latin	Italic	Latn			Yes
lb	Luxembourgish	West Germanic	Latn			
lg	Luganda	Bantu	Latn	Ganda		
li	Limburgish	West Germanic	Latn	Limburgan, Limburgian, Limburgic		
ln	Lingala	Bantu	Latn			
lo	Lao	Southwestern Tai	Laoo	Laotian		
lt	Lithuanian	Baltic	Latn			Yes
lu	Luba-Katanga	Bantu	Latn			
lv	Latvian	Baltic	Latn	Lettish, Lett		
mg	Malagasy	East Barito	Latn	Betsimisaraka Malagasy, Betsimisaraka, Northern Betsimisaraka Malagasy, Northern Betsimisaraka, Southern Betsimisaraka Malagasy, Southern Betsimisaraka, Bara Malagasy, Bara, Masikoro Malagasy, Masikoro, Antankarana, Antankarana Malagasy, Plateau Malagasy, Sakalava, Tandroy Malagasy, Tandroy, Tanosy, Tanosy Malagasy, Tesaka, Tsimihety, Tsimihety Malagasy		
mh	Marshallese	Micronesian	Latn		Yes	
mi	Maori	Polynesian	Latn	Māori		
mk	Macedonian	South Slavic	Cyrl			Yes
ml	Malayalam	Dravidian	Mlym			
mn	Mongolian	Mongolic	Cyrl, Mong	Khalkha Mongolian		
mr	Marathi	Indo-Aryan	Deva, Modi			
ms	Malay	Malayic	Latn, Arab			
mt	Maltese	Arabic	Latn			
my	Burmese	Burmish	Mymr	Myanmar		
na	Nauruan	Micronesian	Latn	Nauru		
nb	Norwegian Bokmål	North Germanic	Latn	Bokmål		
nd	Northern Ndebele	Nguni	Latn	North Ndebele		
ne	Nepali	Indo-Aryan	Deva	Nepalese		
ng	Ndonga	Bantu	Latn			
nl	Dutch	West Germanic	Latn	Netherlandic, Flemish	Yes	
nn	Norwegian Nynorsk	North Germanic	Latn	New Norwegian, Nynorsk		
no	Norwegian	North Germanic	Latn			
nr	Southern Ndebele	Nguni	Latn	South Ndebele		
nv	Navajo	Apachean	nv-Latn		Yes	
ny	Chichewa	Bantu	Latn	Chicheŵa, Chinyanja, Nyanja, Chewa		Yes
oc	Occitan	Romance	Latn	Provençal, Auvergnat, Auvernhat, Gascon, Languedocien, Lengadocian	Yes	
oj	Ojibwe	Algonquian	Cans, Latn	Chippewa, Ojibway, Ojibwemowin, Southwestern Ojibwa		
om	Oromo	Cushitic	Latn, Ethi	Orma, Borana-Arsi-Guji Oromo, West Central Oromo		
or	Oriya	Indo-Aryan	Orya	Odia, Oorya		
os	Ossetian	Iranian	Cyrl, Geor, Latn	Ossete, Ossetic, Digor, Iron		Yes
pa	Punjabi	Indo-Aryan	Guru, Arab, Deva	Panjabi		
pi	Pali	Indo-Aryan	Latn, Deva, Sinh, Mymr, Khmr, Thai		Yes	
pl	Polish	West Slavic	Latn		Yes	
ps	Pashto	Eastern Iranian	ps-Arab	Pashtun, Pushto, Pashtu, Central Pashto, Northern Pashto, Southern Pashto, Pukhto, Pakhto, Pakkhto, Afghani		
pt	Portuguese	Romance	Latn	Modern Portuguese	Yes	
qu	Quechua	Quechuan	Latn			
rm	Romansch	Romance	Latn	Romansh, Rumantsch, Romanche		
rn	Kirundi	Bantu	Latn			
ro	Romanian	Romance	Latn, Cyrl	Daco-Romanian, Roumanian, Rumanian	Yes	
ru	Russian	East Slavic	Cyrl		Yes	Yes
rw	Kinyarwanda	Bantu	Latn	Rwanda		
sa	Sanskrit	Indo-Aryan	Deva, Beng, Brah, Gran, Gujr, Guru, Khar, Knda, Mlym, Mymr, Orya, Shrd, Sinh, Taml, Telu, Thai, Tibt			
sc	Sardinian	Romance	Latn	Campidanese, Campidanese Sardinian, Logudorese, Logudorese Sardinian, Nuorese, Nuorese Sardinian		
sd	Sindhi	Indo-Aryan	sd-Arab, Deva			
se	Northern Sami	Sami	Latn	North Sami, Northern Saami, North Saami		Yes
sg	Sango	creole or pidgin	Latn			
sh	Serbo-Croatian	South Slavic	Latn, Cyrl	BCS, Croato-Serbian, Serbocroatian, Bosnian, Croatian, Montenegrin, Serbian		Yes
si	Sinhalese	Indo-Aryan	Sinh	Singhalese, Sinhala		
sk	Slovak	West Slavic	Latn		Yes	
sl	Slovene	South Slavic	Latn	Slovenian		Yes
sm	Samoan	Polynesian	Latn			
sn	Shona	Bantu	Latn			
so	Somali	Cushitic	Latn, Arab, Osma			Yes
sq	Albanian	Albanian	Latn, Elba		Yes	
ss	Swazi	Nguni	Latn	Swati		
st	Sotho	Bantu	Latn	Sesotho, Southern Sesotho, Southern Sotho		
su	Sundanese	Malayo-Sumbawan	Latn, Sund			
sv	Swedish	North Germanic	Latn			
sw	Swahili	Bantu	Latn, Arab	Settler Swahili, KiSetla, KiSettla, Setla, Settla, Kitchen Swahili, Kihindi, Indian Swahili, KiShamba, Kishamba, Field Swahili, Kibabu, Asian Swahili, Kimanga, Arab Swahili, Kitvita, Army Swahili	Yes	
ta	Tamil	Dravidian	Taml			
te	Telugu	Dravidian	Telu			
tg	Tajik	Western Iranian	Cyrl, fa-Arab, Latn	Tadjik, Tadzhik, Tajiki, Tajik Persian	Yes	Yes
th	Thai	Southwestern Tai	Thai			Yes
ti	Tigrinya	Ethiopian Semitic	Ethi			
tk	Turkmen	Oghuz	Latn, Cyrl			
tl	Tagalog	Philippine	Latn, Tglg			
tn	Tswana	Bantu	Latn	Setswana		
to	Tongan	Polynesian	Latn			
tr	Turkish	Oghuz	Latn			
ts	Tsonga	Bantu	Latn			
tt	Tatar	Kipchak	Cyrl, Latn, Arab, tt-Arab			
ty	Tahitian	Polynesian	Latn			
ug	Uyghur	Turkic	ug-Arab, Latn, Cyrl	Uigur, Uighur, Uygur		
uk	Ukrainian	East Slavic	Cyrl			Yes
ur	Urdu	Indo-Aryan	ur-Arab			Yes
uz	Uzbek	Turkic	Latn, Cyrl, fa-Arab	Northern Uzbek, Southern Uzbek		
ve	Venda	Bantu	Latn			
vi	Vietnamese	Vietic	Latn, Hani	Annamese, Annamite		
vo	Volapük	constructed	Latn			
wa	Walloon	Romance	Latn		Yes	
wo	Wolof	Senegambian	Latn, Arab	Gambian Wolof		
xh	Xhosa	Nguni	Latn			
